subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
lUB9o,.الرجاء تسمية هذه الصورة,45.576,13698,بقعة,29240,75.834,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_40.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,103.303,27434,مخمس,4654,108.981,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_220.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,152.378,43353,نجمة,1473,154.873,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,167.078,12171,نصف نجمة,2111,170.201,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_250.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,186.266,16024,نجمة ع رجل واحدة,3051,190.34,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,226.947,36571,نجمة رجلها تخينة,973,228.94,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,234.618,5644,ارنب,1507,237.149,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_100.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,259.156,21976,ارنب مسوي عملية تجميل لحنكو,1203,261.37,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_130.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,289.125,27715,مربع غير متوازي,1214,291.354,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_190.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,298.066,6676,مثلت,2227,301.319,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,triangle.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,315.364,14011,نصف نجمة نصف مربع,1917,318.296,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_280.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,334.34,16009,خيط,2319,337.673,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_70.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,342.179,4470,مربع,2257,345.457,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,365.667,20174,نصف ذئب نصف كلب,1211,367.897,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,1,trial_lists/trial_list_1
lUB9o,.الرجاء تسمية هذه الصورة,372.804,4869,مزهرية,1110,374.94,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_160.png,1,trial_lists/trial_list_1
