"subjCode","naming_question","naming_expTimer","naming_rt","nameing_response","goodness_of_fit_rt","goodness_of_fit_expTimer","goodness_of_fit","confidence_question","trial_number","image","trial_list_num","batchFile"
"8042A",".الرجاء تسمية هذه الصورة",231.844,41562,"ذئب",14559,247.42,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"dog.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",295.216,47764,"قبعه",10250,306.473,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",2,"VCS_300.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",318.454,11945,"مثلث",2479,321.94,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",3,"triangle.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",412.173,90199,"اكس",2383,415.561,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",4,"VCS_30.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",459.698,44110,"طائرة",2526,463.229,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",5,"VCS_330.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",501.212,37953,"قبعه",2296,504.515,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",6,"VCS_90.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",534.36,29811,"أرنب",3683,539.049,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",7,"VCS_120.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",562.052,22969,"قبعة",3361,566.418,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",8,"VCS_270.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",579.349,12899,"بلس",2480,582.835,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",9,"VCS_60.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",599.351,16482,"جرة",1546,601.904,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",10,"VCS_150.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",659.182,57244,"بيت",4502,664.689,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",11,"VCS_240.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",673.169,8445,"جرة",2064,676.239,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",12,"VCS_180.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",695.59,19320,"مربع",1979,698.586,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",13,"square.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",733.108,34493,"طائرةة",4609,738.725,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",14,"VCS_360.png",3,"trial_lists/trial_list_3"
"8042A",".الرجاء تسمية هذه الصورة",759.78,21023,"لا اعرف",4673,765.459,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",15,"VCS_210.png",3,"trial_lists/trial_list_3"
"80KZe",".الرجاء تسمية هذه الصورة",27.868,14567,"شكل عشوائي",5282,34.162,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"VCS_60.png",3,"trial_lists/trial_list_3"
"819XB",".الرجاء تسمية هذه الصورة",89.476,6558,"مربع",30251,120.74,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"square.png",3,"trial_lists/trial_list_3"
"8CkH4",".الرجاء تسمية هذه الصورة",41.976,29010,"شكل",16843,59.846,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"VCS_170.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",90.85,30966,"فازا",8642,100.509,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",2,"VCS_140.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",117.348,16807,"نجمه رباعيه",2743,121.113,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",3,"VCS_320.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",131.59,10447,"كلب",4782,137.392,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",4,"dog.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",149.092,11670,"بلوزه",2032,152.146,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",5,"VCS_80.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",167.135,14958,"نجمه و مربع",2536,170.689,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",6,"VCS_260.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",184.403,13683,"زائد",2592,188.012,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",7,"VCS_50.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",208.595,20540,"مثلث متساوي الساقين",1806,211.428,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",8,"triangle.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",218.708,7243,"سهم",2250,221.979,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",9,"VCS_230.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",240.814,18805,"سلاح",2118,243.948,1,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",10,"VCS_20.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",250.167,6191,"نجمه",2234,253.418,1,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",11,"VCS_350.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",261.494,8044,"مربع",1132,263.647,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",12,"square.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",271.269,7592,"سهم",2299,274.584,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",13,"VCS_290.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",287.7,13086,"نشان",2755,291.472,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",14,"VCS_200.png",2,"trial_lists/trial_list_2"
"8CkH4",".الرجاء تسمية هذه الصورة",297.54,6039,"فازا",1814,300.373,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",15,"VCS_110.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",148.254,110394,"شعار مكون من جزء من نجمة من الأعلى وقاعدة مربعة",34915,184.187,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"VCS_290.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",201.869,17653,"حلقة خماسية",5464,208.343,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",2,"VCS_230.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",241.012,32642,"شعار نجمة من الاعلى وقاعدة مربعة",4252,246.273,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",3,"VCS_260.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",278.842,32545,"فازة للورد",4404,284.255,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",4,"VCS_140.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",296.762,12483,"نجمة رباعية",1375,299.149,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",5,"VCS_350.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",322.314,23138,"نجمة رباعية محدبة الاطراف",3382,326.705,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",6,"VCS_20.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",340.78,14049,"مثلث متساوي الساقين",2925,344.719,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",7,"triangle.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",352.112,7368,"كلب",3650,356.77,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",8,"dog.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",380.435,23640,"حلقة متعرجة",1963,383.407,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",9,"VCS_80.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",393.716,10279,"حلقة متعرجة",2808,397.533,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",10,"VCS_110.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",404.414,6862,"مربع",2067,407.491,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",11,"square.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",421.368,13853,"شكل غير منتظم",1255,423.632,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",12,"VCS_170.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",465.056,41398,"من الاعلى مدبب والقاعدة مستقيمة الاطراف متعرجة",2308,468.373,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",13,"VCS_200.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",479.486,11097,"حرف x",1558,482.052,3,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",14,"VCS_50.png",2,"trial_lists/trial_list_2"
"8DHaR",".الرجاء تسمية هذه الصورة",514.843,32777,"شبه نجمة",1581,517.434,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",15,"VCS_320.png",2,"trial_lists/trial_list_2"
"8edmu",".الرجاء تسمية هذه الصورة",97.245,76868,"خماسي منحرف",14236,112.489,2,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",1,"VCS_210.png",3,"trial_lists/trial_list_3"
"8edmu",".الرجاء تسمية هذه الصورة",125.004,12496,"نجمه مبتكره",13017,139.026,4,"ما مدى تطابق هذا الاسم مع هذه الصورة؟",2,"VCS_330.png",3,"trial_lists/trial_list_3"
