subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
E1hMl,.الرجاء تسمية هذه الصورة,175.319,48302,خماسى غير منتظم,15987,192.338,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_210.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,218.054,25664,مربع,2072,221.147,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,246.215,25027,كلب,1037,248.274,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,dog.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,272.957,24621,مثلث متساوى الساقين,2293,276.271,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,294.396,18079,منحنى مغلق,2689,298.104,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_60.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,371.946,73783,شبه نجمة,5137,378.101,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_270.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,397.976,19829,شبه نجمة,1539,400.531,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_330.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,416.06,15498,منحنى مغلق,2630,419.707,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_30.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,429.894,10146,شبه نجمة,2572,433.488,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_300.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,443.278,9752,تاج,2596,446.896,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_240.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,467.631,20694,ضرس اسنان,1686,470.338,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_150.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,484.719,14352,منحنى مغلق,3791,489.527,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_120.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,521.922,32356,شكل غير منتظم,3259,526.198,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_180.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,536.843,10602,منحنى مغلق,1785,539.647,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_90.png,3,trial_lists/trial_list_3
E1hMl,.الرجاء تسمية هذه الصورة,550.344,10636,نجمة,1033,552.397,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_360.png,3,trial_lists/trial_list_3
