subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
vL8OF,.الرجاء تسمية هذه الصورة,54.1,17157,وجه ارنب,23058,78.201,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_110.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,94.404,16137,كلب,3135,98.565,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,dog.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,110.445,11839,نجمه خماسيه,1347,112.82,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_230.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,189.745,76894,وجه فضائي🤣🤦‍♀️,6530,197.294,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_80.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,205.513,8165,مربع,4081,210.617,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,square.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,248.022,37373,اشاره x,4453,253.501,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_20.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,259.961,6413,مثلث,2153,263.139,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,277.639,14473,نجمه,1890,280.548,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_290.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,302.768,22183,الجزء العلوي من فستان,2086,305.877,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_170.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,321.939,16021,اشاره ضرب×,4270,327.226,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_50.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,334.489,7232,نجمه,3391,338.902,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_260.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,371.146,32208,نجمه,1780,373.949,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_320.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,387.752,13746,نجمه,2506,391.279,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_350.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,430.41,39096,شكل مغلق🤷‍♀️,1103,432.536,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_200.png,2,trial_lists/trial_list_2
vL8OF,.الرجاء تسمية هذه الصورة,468.788,36195,وجه قطه,926,470.731,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_140.png,2,trial_lists/trial_list_2
