subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
TtliI,.الرجاء تسمية هذه الصورة,57.343,36429,زائد,11339,69.696,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_30.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,82.183,12471,مربع,3244,86.437,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,square.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,112.432,25971,واللهي معرف,1882,115.322,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_180.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,121.687,6344,نجمة,2297,124.992,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_360.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,147.239,22226,نجمة معوقه,1988,150.238,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_240.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,178.948,28690,نص الفستان,2256,182.213,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_150.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,203.616,21382,حاجة مدلوقه عالارض,1395,206.019,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_120.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,226.965,20923,خماسي مجهد شويه,4012,231.987,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_210.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,249.823,17811,مثلث اللهم صل عالنبي,3550,254.383,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,269.671,15269,نجمة لازقه رجليها,1017,271.697,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_270.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,280.57,8851,كلب,2441,284.022,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,dog.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,304.064,20023,يادي ام النجمة المعوقة,1032,306.107,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_300.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,323.935,17804,انحناء بلا هدف,1313,326.258,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_90.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,387.432,61150,نجمة,1803,390.244,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_330.png,3,trial_lists/trial_list_3
TtliI,.الرجاء تسمية هذه الصورة,403.053,12785,تاني؟,779,404.842,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_60.png,3,trial_lists/trial_list_3
