subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
1tQSV,.الرجاء تسمية هذه الصورة,23.763,14655,شبيهة النجمة,15861,40.65,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_340.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,54.489,13785,حاجة كدة,3863,59.368,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_100.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,68.199,8779,Vase,3507,72.726,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_160.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,79.705,6923,معرفش,1308,82.028,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_190.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,95.873,13815,بردو شبيهة النجمة,2472,99.362,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_310.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,115.337,15924,سبينر او بتاعة النينجا دي,2411,118.765,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,137.127,18315,خماسي بس في خط مستقيم,1636,139.781,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_250.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,158.582,18751,و الله معارفة يابني,1639,161.237,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_70.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,180.716,19425,مثلث، اخيرا حاجة انا عارفاها,1653,183.389,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,191.054,7620,خماسي,1317,193.39,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_220.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,201.165,7727,يوه بقى,1283,203.466,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_130.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,216.699,13187,شبيهة شبيهة السبينر,2805,220.519,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,225.097,4527,كلب,1827,227.943,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,233.37,5374,مربع,1049,235.442,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,square.png,1,trial_lists/trial_list_1
1tQSV,.الرجاء تسمية هذه الصورة,256.046,20560,نجمة مكملتش للاخر,2881,259.946,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_280.png,1,trial_lists/trial_list_1
