subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
PMSAU,.الرجاء تسمية هذه الصورة,56.094,33242,نجمة بداخل صندوق,10731,67.85,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_310.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,89.685,21739,أريكة,3333,94.036,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_130.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,101.506,7416,خماسي,2253,104.779,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_220.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,125.885,21035,معجون لعب,6292,133.192,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_70.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,138.307,5038,مثلث,1248,140.58,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,triangle.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,167.654,27006,نجمة ذات عشرة أضلاع,6438,175.104,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_340.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,188.899,13732,شارة,3471,193.384,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_190.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,199.688,6266,أريكة,1681,202.384,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_160.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,207.334,4893,مربع,847,209.201,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,245.976,36693,نجمة ونصف مربع,1481,248.476,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_280.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,270.643,22080,مجسم,2451,274.113,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_100.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,286.899,12703,نجمة رباعية ذات حواف مدببة,977,288.902,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_10.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,304.786,15801,جهاز ازالة التوتر,2793,308.596,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_40.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,317.441,8760,كلب,2126,320.592,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,1,trial_lists/trial_list_1
PMSAU,.الرجاء تسمية هذه الصورة,336.28,15619,نجمة ثلاثية ونصف مربع,1783,339.081,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_250.png,1,trial_lists/trial_list_1
