subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
WLJi0,.الرجاء تسمية هذه الصورة,183.29,34876,مربع,7545,191.875,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,square.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,209.788,17854,تساعى,7891,218.698,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_310.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,225.027,6279,مثلث,1279,227.325,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,244.511,17128,فخار,2416,247.949,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_130.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,296.751,48745,إناء,2326,300.103,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_190.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,309.903,9741,خماسي,844,311.768,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_220.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,344.494,32681,فخار,1239,346.754,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_160.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,358.5,11696,نجم البحر,7009,366.532,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_40.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,372.816,6234,نجمة,2180,376.021,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_10.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,404.446,28375,نجمة,1148,406.613,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_340.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,418.177,11520,تساعى,1201,420.406,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_250.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,444.293,23736,لعبة أطفال,2466,447.785,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_70.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,462.615,14771,كوب نجمى,1271,464.915,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_280.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,479.843,14875,أرنب,2250,483.122,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
WLJi0,.الرجاء تسمية هذه الصورة,503.643,20471,كلب,2238,506.906,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,1,trial_lists/trial_list_1
