subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
crYL2,.الرجاء تسمية هذه الصورة,33.495,22245,شكل غريب,13630,48.14,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_70.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,61.238,13064,نجمة ثلاثية,12109,74.352,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_310.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,110.653,36269,X,4658,116.317,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_40.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,171.55,55202,ثوب,3563,176.126,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_100.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,191.166,14996,جسم كيرڤي,5556,197.726,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_130.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,225.385,27626,نظرة توعد,4252,230.644,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,dog.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,245.148,14468,مربنجم,1875,248.029,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_280.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,267.074,19014,نجمة منقوصة الضلع,1652,269.73,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_340.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,285.575,15812,مثلث,1683,288.264,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,triangle.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,297.89,9595,مخمس,1348,300.244,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_220.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,319.443,19167,شعار,1551,322,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_160.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,331.145,9113,خط اليد,2384,334.533,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_190.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,343.279,8718,مربع,2385,346.668,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,square.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,364.712,18012,نجمة البحر,2056,367.788,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_10.png,1,trial_lists/trial_list_1
crYL2,.الرجاء تسمية هذه الصورة,386.954,19128,نجمة مستطيلية النصف,3095,391.056,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_250.png,1,trial_lists/trial_list_1
