subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
SAsrH,.الرجاء تسمية هذه الصورة,24.21,11461,نجمة,16083,41.308,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_320.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,53.184,11851,ماعرف,2130,56.319,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_50.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,62.069,5717,هم ماعرف,1827,64.902,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_20.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,69.268,4338,مثلث,1732,72.005,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,triangle.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,81.524,9487,نجمة سمينة,1441,83.972,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,88.502,4501,نجمة,2633,92.141,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_350.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,95.954,3786,مربع,1497,98.455,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,108.137,9651,نجمة عدلة,1298,110.44,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_230.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,121.674,11205,نجمة عدلة تشبه المربع,2074,124.755,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_290.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,130.44,5653,جلبت,1364,132.809,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_260.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,137.989,5150,دبدوب,1633,140.627,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_140.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,144.304,3647,ماعرف,2231,147.542,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_170.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,151.808,4238,ارتب,3613,156.428,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_80.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,172.024,15567,ذئب,2216,175.245,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,dog.png,2,trial_lists/trial_list_2
SAsrH,.الرجاء تسمية هذه الصورة,179.577,4299,ماعرف,1330,181.912,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_110.png,2,trial_lists/trial_list_2
