subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
QekyO,.الرجاء تسمية هذه الصورة,60.32,10180,شعار,14608,75.941,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_280.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,98.123,22155,مجسم ارنب,4636,103.768,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_100.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,117.956,14164,نجم البحر,1631,120.595,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_10.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,175.895,55279,شبيهه بالمنطاد,1779,178.685,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_190.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,188.813,10105,شبيهه بالنجمه,1298,191.121,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,213.689,22545,شعار لتنيز,1639,216.337,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_250.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,237.448,21084,حدود لوحه فنيه,1072,239.531,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,287.163,47612,رسمه للقبعه الفرنسيه القديمه للحراس,1481,289.65,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_220.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,354.125,64450,للحقيقه عدة وجوه فلا يجب التسرع بالحكم,1337,356.474,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,dog.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,364.985,8483,ارنب,1273,367.266,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_130.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,374.371,7085,مثلث,781,376.16,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,389.491,13310,شكل للعبه,2580,393.08,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,431.685,38581,منحنية الجوانب,1548,434.242,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_70.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,445.291,11022,نوع من المنطاد,1045,447.344,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_160.png,1,trial_lists/trial_list_1
QekyO,.الرجاء تسمية هذه الصورة,458.277,10911,مثلث غير مكتمل,2920,462.205,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_310.png,1,trial_lists/trial_list_1
