subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
kyGbV,.الرجاء تسمية هذه الصورة,26.801,7495,مثلث,8938,36.783,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,triangle.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,47.572,10725,ثماني,4858,53.445,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_230.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,101.054,47582,الله اعلم,1754,103.821,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_110.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,112.925,9077,نفس الشى الله اعلم,4105,118.041,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_140.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,136.12,18063,نجمة رباعيه,2076,139.211,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_350.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,146.296,7062,مربع,1540,148.853,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,160.21,11342,شكل اي كلام,1844,163.07,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_50.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,171.495,8399,وسط وحده سمينه,1291,173.798,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_170.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,187.933,14108,نجم عندو كرشه,2579,191.531,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_200.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,209.356,17801,راس أرنب عندو خدود,1271,211.64,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_80.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,237.553,25889,نجمه رجلها وارمه,1826,240.391,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_320.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,260.677,20269,بتكررو الاشكال ليه؟ نجم رباعي تخين,948,262.639,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_20.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,275.164,12500,نجممربع,1076,277.254,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_290.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,285.669,8392,نجممربع الام,918,287.601,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_260.png,2,trial_lists/trial_list_2
kyGbV,.الرجاء تسمية هذه الصورة,296.919,9294,ككككككككلبب,1999,299.935,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,dog.png,2,trial_lists/trial_list_2
