subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
tn2iD,.الرجاء تسمية هذه الصورة,102.808,32633,المنطقة الوسطى من جسم انراءة,6782,110.61,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_130.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,152.878,42231,قبعة طباخ,2726,156.615,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_190.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,239.038,82393,الجزء العلوي من فستان بلا اكمام,1822,241.87,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_100.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,262.402,20498,نجمة بقاعدة مربع,1899,265.315,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_250.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,275.627,10281,راس دب,1812,278.452,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_160.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,293.546,15061,نجمة بقاعدة مربع,1135,295.694,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_280.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,304.813,9089,مربع,1741,307.568,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,square.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,314.646,7047,مثلث,1397,317.058,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,triangle.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,349.797,32681,شكل اميبي,1509,352.318,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_40.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,373.001,20654,نجمة غير متشابهة الاطراف,2433,376.446,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_340.png,1,trial_lists/trial_list_1
tn2iD,.الرجاء تسمية هذه الصورة,405.167,28686,نجمة بقاعدة مكعب,1681,407.86,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_310.png,1,trial_lists/trial_list_1
