subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
fT4gc,.الرجاء تسمية هذه الصورة,45.933,15667,مزهرية,15768,62.718,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_160.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,71.533,8770,درع,4717,77.259,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_130.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,85.787,8493,نص نجمة,1500,88.295,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_280.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,94.088,5757,ذئب,3092,98.19,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,dog.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,105.676,7454,نجم بحر,1662,108.349,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,114.493,6111,نجم بحر,2948,118.452,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,130.741,12257,تشيرت,3135,134.884,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_70.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,145.104,10181,مستطيل,11774,157.888,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,square.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,173.47,15545,كرتونة,1459,175.94,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_190.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,184.437,8458,نجمة,2563,188.008,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_310.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,192.743,4700,مثلث,1658,195.41,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,triangle.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,209.852,14406,شكل,2083,212.95,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,218.78,5797,بيت,1525,221.314,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_220.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,326.135,104781,ارنب,1924,329.075,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_100.png,1,trial_lists/trial_list_1
fT4gc,.الرجاء تسمية هذه الصورة,348.731,19603,ربع نجمة,1901,351.644,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_250.png,1,trial_lists/trial_list_1
