subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
VP0EO,.الرجاء تسمية هذه الصورة,38.064,21650,نجمربع,24496,63.591,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_280.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,106.512,42871,تساعي الاضلاع,3051,110.57,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_250.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,124.583,13976,ارنوب,7358,132.947,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_100.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,142.64,9652,مربع,2584,146.232,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,square.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,179.381,33101,✨ لامع,3703,184.089,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_340.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,216.81,32678,نجمه رباعيه,5782,223.649,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_10.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,228.029,4339,مثلث,5540,234.577,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,292.817,58212,قبعه,1761,295.584,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_70.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,314.746,19126,فانوس,2384,318.14,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_190.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,325.363,7180,كلب,3737,330.107,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_130.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,343.182,13031,خماسي الاضلاع,1279,345.466,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_220.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,354.381,8874,علامه خطأ,3870,359.259,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_40.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,373.266,13979,كلب,2058,376.331,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,dog.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,417.989,41619,لمبه,1428,420.422,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_310.png,1,trial_lists/trial_list_1
VP0EO,.الرجاء تسمية هذه الصورة,423.669,3207,دب,2693,427.368,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_160.png,1,trial_lists/trial_list_1
