subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
te3Fg,.الرجاء تسمية هذه الصورة,80.734,47378,مموج الا القاع,6217,87.973,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_170.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,126.582,38563,ملتقي من ثلاث جهات من الوسط,2404,129.992,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_80.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,142.246,12208,شكل رباعي غير متساوي,1900,145.155,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,VCS_20.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,178.627,33427,ثماني,2666,182.297,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_350.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,212.237,29901,تساعي بطريقه ما,1616,214.869,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_290.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,233.028,18119,متوازي اضلاع,2756,236.793,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,square.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,247.521,10680,مثلث حاد الزوايا,1791,250.317,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,triangle.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,279.861,29500,يشبه المزهريه الى حد ما,2326,283.193,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_140.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,308.82,25584,مربع مضغوط الاضلع الى الداخل,2268,312.095,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,VCS_50.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,339.123,26987,كلب او ذئب,2344,342.474,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,dog.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,403.09,60581,الراس يشبه الزاويه المنفرجة اما الضلعان الجانبيان ليسا متساوين والقاع متسواي,5339,409.438,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_200.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,441.036,31551,نجمه ومربع مدموجين,3428,445.471,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,VCS_260.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,465.385,19870,تشبه تصميم القميص الى حدما,1965,468.357,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_110.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,486.312,17912,عُشاري,2954,490.274,3,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_320.png,2,trial_lists/trial_list_2
te3Fg,.الرجاء تسمية هذه الصورة,500.861,10545,خُماسي,1942,503.811,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_230.png,2,trial_lists/trial_list_2
