subjCode,naming_question,naming_expTimer,naming_rt,nameing_response,goodness_of_fit_rt,goodness_of_fit_expTimer,goodness_of_fit,confidence_question,trial_number,image,trial_list_num,batchFile
IG0Qm,.الرجاء تسمية هذه الصورة,128.05,5809,نجمة,9986,139.055,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,1,VCS_350.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,164.527,25438,بقعة,4371,169.912,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,2,VCS_50.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,174.861,4923,مثلث,3241,179.112,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,3,triangle.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,240.06,60925,مضلع,1712,242.785,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,4,VCS_110.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,257.476,14671,سداسي الزوايا,3924,262.413,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,5,VCS_200.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,303.417,40980,.,2354,306.783,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,6,VCS_140.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,310.492,3689,.,1587,313.1,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,7,VCS_80.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,323.689,10565,نجمة مربعة,1995,326.697,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,8,VCS_260.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,337.676,10955,مربع,3702,342.396,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,9,square.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,352.752,10331,نجمة لها قاعدة,2632,356.4,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,10,VCS_320.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,373.363,16936,سداسي الزوايا,1690,376.073,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,11,VCS_230.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,380.089,3994,كلب,1272,382.378,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,12,dog.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,401.295,18893,نجمة نصها مربع,3435,405.744,2,ما مدى تطابق هذا الاسم مع هذه الصورة؟,13,VCS_290.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,408.979,3209,.,1311,411.304,1,ما مدى تطابق هذا الاسم مع هذه الصورة؟,14,VCS_170.png,2,trial_lists/trial_list_2
IG0Qm,.الرجاء تسمية هذه الصورة,415.886,4559,نجمة,1938,418.841,4,ما مدى تطابق هذا الاسم مع هذه الصورة؟,15,VCS_20.png,2,trial_lists/trial_list_2
